source,actual_load_g,row,column,raw_adc,common_valid,status,quality_flags,linear_g,gamma_g,fit_g
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,15,1.0,True,ok,,3.9682539682539684,1.983754038367771e-09,18.25
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,16,1.0,True,ok,,0.0,0.0,36.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,1,1.0,True,ok,FULL_UNSTABLE,0.0,0.0,36.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,2,6.0,True,ok,,8.012820512820513,3.297855675269004e-08,4.634920634920635
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,3,9.5,True,ok,,2.498750624687656,3.11875780469433e-10,7.3
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,4,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,5,12.0,True,ok,,30.35559410234172,6.792739115200822e-06,17.03333333333333
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,6,30.0,True,ok,,37.220843672456574,1.535447029808084e-05,21.9
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,7,573.0,True,ok,,1052.9157667386607,9.832512406289371,514.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,8,349.0,True,ok,,115.49566891241578,0.0014234846257951785,225.42105263157896
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,9,252.5,True,ok,,0.0,0.0,71.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,10,18.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,11,4.5,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,12,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,13,1.0,True,ok,,2.0981955518254303,1.5505073701694252e-10,86.4
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,14,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,15,1.0,True,ok,,1.9928258270227184,1.2617327010879708e-10,24.333333333333332
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,2,16,1.0,True,ok,,3.885003885003885,1.8224508169973333e-09,107.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,1,3.0,True,ok,FULL_UNSTABLE,0.0,0.0,36.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,2,3.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,3,5.0,True,ok,,4.844961240310077,4.408097736784704e-09,7.3
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,4,3.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,5,5.0,True,ok,,8.460236886632826,4.0984541488339e-08,3.3181818181818183
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,6,12.0,True,ok,,8.051529790660226,3.362045631553133e-08,2.56140350877193
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,7,243.0,True,ok,,213.8084632516704,0.0167182014913539,19.796610169491522
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,8,149.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,9,109.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,10,7.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,11,2.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,12,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,13,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,14,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,15,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,3,16,1.0,True,ok,,3.852080123266564,1.761453709281952e-09,107.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,1,3.0,True,ok,FULL_UNSTABLE,19.76284584980237,1.2203598746521607e-06,73.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,2,5.5,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,3,8.5,True,ok,FULL_UNSTABLE,7.2957198443579765,2.2665357936258924e-08,36.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,4,0.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,5,7.0,True,ok,,14.625992478061011,3.660929536767574e-07,6.3086419753086425
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,6,17.0,True,ok,,20.193861066235865,1.3303546836787822e-06,7.1568627450980395
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,7,265.0,True,ok,,314.9955634427684,0.07876036770244116,37.02142857142857
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,8,220.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,9,151.0,True,ok,,0.0,0.0,36.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,10,11.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,11,2.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,12,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,13,1.0,True,ok,,4.1017227235438884,2.264410613850067e-09,72.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,14,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,15,1.0,True,ok,,3.9154267815191854,1.8802102472498728e-09,36.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,4,16,1.0,True,ok,,0.0,0.0,71.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,1,3.0,True,ok,FULL_UNSTABLE,6.756756756756757,1.6674127783045324e-08,323.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,2,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,3,1.0,True,ok,,4.887585532746823,4.56528053019382e-09,14.6
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,4,0.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,5,2.0,True,ok,,4.198152812762385,2.4849803471889602e-09,4.866666666666666
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,6,4.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,7,56.0,True,ok,,4.045307443365696,2.1423781055065806e-09,1.1967213114754098
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,8,64.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,9,31.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,10,3.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,11,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,12,1.0,True,ok,,0.0,0.0,36.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,13,1.0,True,ok,,0.0,0.0,107.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,14,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,15,1.0,True,ok,,0.0,0.0,36.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,5,16,1.0,True,ok,,3.779289493575208,1.6320393567435555e-09,107.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,1,0.0,True,ok,FULL_UNSTABLE,0.0,0.0,107.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,2,0.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,3,0.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,4,0.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,5,2.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,6,3.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,7,28.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,8,54.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,9,12.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,10,2.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,11,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,12,1.0,True,ok,,3.711952487008166,1.5187966181611872e-09,24.333333333333332
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,13,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,14,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,15,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,6,16,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,1,0.0,True,ok,FULL_UNSTABLE,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,2,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,3,2.5,True,ok,,7.267441860465116,2.2315994792472565e-08,18.25
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,4,5.5,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,5,5.0,True,ok,,4.237288135593221,2.5789443757597054e-09,3.8421052631578947
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,6,12.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,7,116.0,True,ok,,0.0,0.0,36.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,8,238.0,True,ok,,0.0,0.0,36.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,9,48.0,True,ok,,0.0,0.0,36.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,10,7.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,11,2.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,12,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,13,1.0,True,ok,,3.943217665615142,1.934162639495284e-09,73.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,14,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,15,1.0,True,ok,,3.881987577639751,1.8167976198050498e-09,73.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,7,16,1.0,True,ok,,0.0,0.0,36.5
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,8,1,3.0,True,ok,FULL_UNSTABLE,0.0,0.0,287.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,8,2,0.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,8,3,0.0,True,ok,,0.0,0.0,0.0
